time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-03-20T11:13:53.000Z,38.8311653,-122.7556686,0.87,1.04,md,15,100,0.01115,0.03,nc,nc73154521,2019-03-20T12:23:02.997Z,"3km WNW of Cobb, CA",earthquake,0.24,0.55,0.14,3,automatic,nc,nc
2019-03-20T11:04:22.633Z,61.4027,-150.0305,34.1,1.7,ml,,,,0.6,ak,ak0193mu13a1,2019-03-20T11:08:56.844Z,"13km SSW of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-03-20T11:01:11.490Z,38.8116667,-122.8193333,2.62,1.01,md,33,50,0.008183,0.04,nc,nc73154516,2019-03-20T17:51:03.883Z,"7km NW of The Geysers, CA",earthquake,0.17,0.28,0.029,6,reviewed,nc,nc
2019-03-20T10:27:35.300Z,11.927,92.817,57.93,4.9,mb,,96,0.279,1.04,us,us1000jj58,2019-03-20T11:48:14.040Z,"27km NNE of Bamboo Flat, India",earthquake,8.3,6.1,0.06,89,reviewed,us,us
2019-03-20T10:11:05.490Z,36.0726667,-117.6773333,1.6,1.45,ml,20,76,0.08556,0.15,ci,ci38277959,2019-03-20T13:20:25.532Z,"25km E of Coso Junction, CA",earthquake,0.24,0.4,0.143,20,reviewed,ci,ci
2019-03-20T09:58:41.060Z,36.0695,-117.6831667,1.62,1.53,ml,27,45,0.07987,0.12,ci,ci38277951,2019-03-20T16:20:54.880Z,"24km E of Coso Junction, CA",earthquake,0.13,0.21,0.152,27,reviewed,ci,ci
2019-03-20T09:51:33.410Z,33.4991667,-116.7806667,7.13,0.49,ml,20,65,0.07534,0.14,ci,ci38277943,2019-03-20T13:20:45.096Z,"10km NE of Aguanga, CA",earthquake,0.25,0.84,0.088,13,reviewed,ci,ci
2019-03-20T09:31:28.828Z,60.8043,-139.8402,0,1.5,ml,,,,0.57,ak,ak0193mt00vm,2019-03-20T09:34:50.111Z,"127km W of Haines Junction, Canada",earthquake,,0.5,,,automatic,ak,ak
2019-03-20T09:19:10.170Z,37.5111667,-119.0425,5.04,0.38,md,7,295,0.08743,0.04,nc,nc73154501,2019-03-20T16:44:02.500Z,"15km SSW of Mammoth Lakes, CA",earthquake,0.76,1.16,0.147,7,reviewed,nc,nc
2019-03-20T09:10:12.360Z,37.4685,-118.6375,8.51,1.42,md,20,148,0.1736,0.04,nc,nc73154496,2019-03-20T18:30:45.571Z,"7km NNW of Round Valley, CA",earthquake,0.37,1.7,0.141,8,reviewed,nc,nc
2019-03-20T09:10:04.143Z,62.2046,-150.1889,14.8,1.4,ml,,,,0.56,ak,ak0193msvgxn,2019-03-20T09:18:06.874Z,"13km SSW of Talkeetna, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-03-20T09:07:30.142Z,61.5267,-149.8829,34.4,1.2,ml,,,,0.51,ak,ak0193msuvsy,2019-03-20T09:11:45.170Z,"3km E of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-03-20T08:58:26.220Z,38.8170013,-122.8255005,1.81,0.88,md,12,87,0.008615,0.03,nc,nc73154491,2019-03-20T10:09:04.230Z,"7km NW of The Geysers, CA",earthquake,0.38,0.56,,1,automatic,nc,nc
2019-03-20T08:46:10.010Z,18.5918,-67.4955,15,2.04,md,7,289,0.208,0.3,pr,pr2019079006,2019-03-20T11:50:07.297Z,"38km NW of Rincon, Puerto Rico",earthquake,1.77,1.39,0.36,7,reviewed,pr,pr
